               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.034889,            0.010904,            0.022231,             0.90571,             0.88833,             0.96011,             0.61316,            0.020471,           0.0037025,           0.0068024,           0.0080992,           0.0080992,           0.0080992
                  98,            0.028093,           0.0095255,            0.020778,             0.89949,             0.92984,             0.97585,             0.79471,            0.013595,           0.0034818,           0.0078864,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031075,           0.0090524,            0.022163,             0.84759,             0.90605,             0.97289,             0.80198,            0.016459,           0.0036305,           0.0066964,           0.0080596,           0.0080596,           0.0080596
                 100,            0.027193,           0.0087631,            0.022305,             0.95924,             0.92857,             0.96844,             0.77513,            0.014264,           0.0035423,           0.0067332,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027752,            0.010395,            0.019086,             0.94428,             0.93758,             0.97099,             0.68658,            0.020711,           0.0036831,           0.0067354,             0.00802,             0.00802,             0.00802
                 102,            0.029546,           0.0094163,            0.019309,             0.95023,             0.98131,             0.97869,              0.8516,            0.013427,           0.0036486,           0.0058366,           0.0080002,           0.0080002,           0.0080002
                 103,            0.028172,            0.010811,            0.020905,             0.93866,             0.91417,             0.95071,             0.54875,            0.017466,           0.0035935,           0.0058932,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027949,           0.0085111,            0.020371,             0.86545,             0.91578,             0.95344,             0.74267,            0.018075,           0.0036302,           0.0060851,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028292,           0.0094456,            0.022137,             0.63564,             0.90024,             0.91529,             0.63774,            0.018909,           0.0037409,            0.015215,           0.0079408,           0.0079408,           0.0079408
                 106,             0.02779,           0.0099936,            0.020514,             0.87878,             0.90251,             0.96068,             0.73161,            0.018288,           0.0034478,            0.010401,            0.007921,            0.007921,            0.007921
                 107,            0.024319,           0.0090591,            0.018644,             0.85926,             0.98725,             0.98213,             0.76016,            0.016292,           0.0036194,           0.0076216,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030153,            0.010046,            0.020483,             0.89961,             0.96775,             0.97862,             0.78796,            0.015407,           0.0033482,           0.0057478,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024347,           0.0084827,            0.020952,              0.7962,             0.91071,             0.95308,             0.61642,            0.023546,           0.0037804,           0.0065073,           0.0078616,           0.0078616,           0.0078616
                 110,            0.031457,           0.0079757,            0.018818,             0.91286,             0.96473,             0.98137,             0.81616,            0.011372,           0.0035048,           0.0062761,           0.0078418,           0.0078418,           0.0078418
                 111,            0.021769,           0.0085263,            0.016935,             0.93976,             0.97613,             0.98417,             0.71524,            0.018698,           0.0037219,           0.0055973,            0.007822,            0.007822,            0.007822
                 112,            0.030512,            0.010967,            0.021433,             0.93342,             0.93032,             0.97532,             0.81708,            0.010535,            0.003323,           0.0069014,           0.0078022,           0.0078022,           0.0078022
                 113,            0.027735,           0.0097823,            0.019738,             0.84357,             0.89286,             0.96097,             0.68682,            0.020038,           0.0037385,           0.0075238,           0.0077824,           0.0077824,           0.0077824
                 114,            0.031619,            0.010703,            0.018656,             0.90553,             0.92895,             0.97394,             0.80528,            0.014871,           0.0035943,           0.0066543,           0.0077626,           0.0077626,           0.0077626
